x,y,z,,,
173,74,575,,,
173,75,574,,,
174,74,574,,,
174,73,575,,,
174,74,575,,,
173,74,574,,,
174,74,575,,,
174,74,575,,,
174,74,574,,,
174,73,575,,,
174,74,574,,,
175,73,575,,,
174,74,574,,,
174,73,576,,,
174,74,574,,,
174,74,575,,,
174,74,574,,,
175,73,576,,,
175,73,575,,,
175,74,576,,,
176,74,575,,,
177,74,576,,,
178,74,575,,,
179,75,575,,,
180,74,576,,,
181,74,577,,,
183,74,576,,,
184,74,576,,,
186,75,576,,,
188,75,579,,,
190,75,579,,,
192,74,581,,,
193,75,580,,,
195,75,579,,,
198,75,581,,,
200,76,581,,,
202,75,584,,,
204,76,583,,,
206,76,582,,,
208,76,582,,,
210,76,583,,,
211,77,583,,,
213,77,584,,,
215,77,586,,,
216,77,586,,,
218,77,586,,,
220,77,585,,,
222,77,585,,,
223,77,585,,,
224,77,586,,,
226,77,585,,,
228,77,586,,,
229,77,588,,,
231,77,588,,,
233,77,589,,,
234,77,588,,,
236,77,589,,,
237,77,589,,,
238,77,590,,,
239,77,591,,,
241,77,591,,,
241,78,591,,,
242,78,590,,,
242,78,591,,,
243,78,591,,,
244,78,593,,,
244,76,593,,,
244,77,592,,,
243,79,591,,,
243,83,592,,,
243,87,593,,,
242,89,592,,,
242,91,592,,,
242,93,592,,,
242,95,592,,,
242,97,592,,,
241,99,591,,,
241,100,592,,,
240,102,592,,,
240,104,593,,,
238,106,594,,,
238,107,593,,,
237,109,594,,,
237,110,594,,,
237,112,594,,,
237,114,594,,,
236,115,596,,,
237,117,596,,,
236,119,595,,,
236,121,596,,,
236,123,595,,,
236,125,596,,,
235,127,598,,,
234,129,597,,,
234,131,598,,,
234,133,596,,,
234,135,598,,,
233,137,598,,,
233,138,598,,,
233,140,599,,,
233,142,600,,,
233,144,600,,,
232,146,601,,,
232,148,602,,,
231,150,602,,,
232,152,602,,,
231,153,603,,,
231,154,601,,,
230,156,603,,,
230,157,603,,,
230,159,604,,,
231,161,604,,,
230,162,604,,,
230,164,605,,,
231,166,604,,,
230,167,606,,,
230,169,606,,,
